Id,Prediction
0,3692961.039
1,3642797.744
2,3459846.858
3,3459846.858
4,3604756.029
5,3964340.389
6,3718777.365
7,3547752.104
8,4197114.908
9,3709747.127
10,4014226.039
11,3901305.999
12,3705045.295
13,3726249.093
14,4150216.554
15,5023215.359
16,4406940.985
17,3507490.82
18,4976626.986
19,3547752.104
20,3374119.704
21,5133588.828
22,3568654.931
23,4314264.976
24,4338572.568
25,3857032.447
26,3688931.26
27,3705372.148
28,3507490.82
29,3705372.148
30,3675633.63
31,3412850.067
32,3576455.969
33,4898751.481
34,3499561.253
35,4626655.62
36,3584559.77
37,4341606.676
38,3928578.799
39,3617508.88
40,3817426.925
41,3817426.925
42,4382075.699
43,4793427.075
44,4130379.322
45,3663322.13
46,3420583.157
47,3487839.506
48,4187626.272
49,3625705.702
50,3817426.925
51,3596606.569
52,4604947.307
53,3467686.437
54,3572553.32
55,4274969.649
56,4022966.872
57,3646133.787
58,4102394.421
59,3869994.958
60,3409125.946
61,3532010.582
62,3967462.757
63,3937480.466
64,3879106.06
65,4915214.947
66,3705372.148
67,4982900.115
68,5812869.292
69,4599922.363
70,3897048.873
71,3527875.219
72,3817426.925
73,3564476.663
74,3891799.427
75,3817426.925
76,3786789.079
77,3625705.702
78,3838935.213
79,3847633.759
80,4294022.403
81,4765730.196
82,3625705.702
83,3982677.454
84,5391873.545
85,3374119.704
86,4788196.461
87,4542396.056
88,3684612.17
89,4156922.329
90,3891799.427
91,3688931.26
92,3844113.353
93,3596606.569
94,4706130.309
95,3687986.506
96,3713768.057
97,3817426.925
98,3982677.454
99,4501022.859
100,4532488.09
101,3409125.946
102,3543880.778
103,3495742.513
104,3928578.799
105,3564476.663
106,3655040.267
107,4690367.17
108,3919005.769
109,4192570.654
110,4158921.986
111,4248261.025
112,5275946.888
113,3848312.653
114,3813261.328
115,4235694.598
116,3381765.036
117,4041931.654
118,3774105.265
119,3918347.732
120,5204281.123
121,3869994.958
122,4490847.162
123,4338572.568
124,3555790.866
125,3572553.32
126,4111362.208
127,3731275.236
128,3989782.446
129,4287859.954
130,3409125.946
131,3869653.584
132,3923286.882
133,3564476.663
134,4022966.872
135,3804640.489
136,3584559.77
137,3786455.044
138,3989975.397
139,4074633.787
140,6147223.565
141,3420583.157
142,4169045.602
143,3409125.946
144,4700994.954
145,3883995.744
146,3847973.191
147,3718777.365
148,3663322.13
149,3847633.759
150,3852823.632
151,3527875.219
152,5246387.498
153,5103926.463
154,3883995.744
155,3808124.746
156,4097591.239
157,5162512.684
158,3543880.778
159,3651051.867
160,3499561.253
161,3982677.454
162,3883995.744
163,4314264.976
164,4144626.083
165,3527875.219
166,3680120.162
167,3547752.104
168,4679763.413
169,5092387.751
170,3735351.272
171,3420583.157
172,3705224.476
173,4679763.413
174,4439883.265
175,3452025.002
176,5318633.091
177,4097591.239
178,3928578.799
179,3576455.969
180,3843435.2
181,3897048.873
182,3838935.213
183,3808124.746
184,4111362.208
185,3532010.582
186,3765572.949
187,3923286.882
188,4064704.855
189,3878763.881
190,3865122.9
191,4009491.982
192,4409060.911
