Id,Prediction
0,4205454.373
1,3676908.15
2,2692187.235
3,3077200.18
4,11899300.2
5,4796497.919
6,4589681.14
7,3174459.887
8,4531937.035
9,3517024.615
10,6693025.712
11,4518885.486
12,2345620.142
13,4026594.16
14,3368776.634
15,3569610.784
16,4099172.795
17,3840462.24
18,4814197.685
19,5663751.505
20,1824441.364
21,2100695.025
22,3950591.309
23,2650773.897
24,3899702.243
25,4557296.424
26,3343303.481
27,8015365.091
28,4120629.461
29,4980044.805
30,4833465.37
31,2871451.602
32,1831756.536
33,4575860.502
34,3130618.258
35,4992652.202
36,4938954.984
37,5420315.763
38,2437574.743
39,3341998.226
40,5888749.798
41,3592528.756
42,3831756.366
43,4178582.392
44,5515650.803
45,2994116.928
46,7138997.12
47,2916720.2
48,3722171.118
49,4219035.629
50,1918647.499
51,4644499.723
52,2928657.547
53,2590188.554
54,2204846.45
55,5809227.354
56,22202703.7
57,3441529.262
58,4326587.035
59,5525355.597
60,3773967.299
61,3503113.573
62,3853537.978
63,4034543.526
64,4523795.878
65,8327470.348
66,3066108.398
67,6533776.352
68,3899232.779
69,4837106.73
70,3433537.158
71,2819808.903
72,3248096.53
73,2505071.885
74,3101313.817
75,3255401.784
76,2227572.194
77,3672667.344
78,2978897.311
79,2453934.617
80,9121120.805
81,3147831.777
82,4366746.125
83,4839677.662
84,8617556.312
85,1612362.638
86,2503520.082
87,3710750.811
88,2656558.373
89,3969069.311
90,8516771.354
91,3945365.379
92,2596335.834
93,6819361.625
94,6476890.924
95,3828441.112
96,2582702.729
97,3282264.999
98,3371377.437
99,3907837.895
100,4613761.835
101,1303175.09
102,5569303.02
103,2891119.134
104,3770199.659
105,2454370.264
106,6379025.151
107,7550648.254
108,3173148.852
109,8241737.979
110,3636555.768
111,3708944.443
112,5261829.506
113,4792576.952
114,6207161.764
115,6253595.739
116,4997691.823
117,8661098.266
118,2850863.478
119,3594916.491
120,4449682.944
121,4405598.826
122,3143311.497
123,7821422.019
124,2715219.755
125,4741447.988
126,4060514.912
127,2430897.12
128,3805205.07
129,3907526.985
130,2723936.737
131,3988200.53
132,3232989.969
133,3990632.232
134,4076440.913
135,3921730.549
136,4920721.747
137,3423081.148
138,3996102.932
139,4189765.726
140,8196386.721
141,2126160.416
142,4584719.093
143,1931700.025
144,6272903.474
145,3707122.634
146,2023521.388
147,2529525.248
148,2276477.475
149,4030524.285
150,5976000.702
151,2575017.246
152,2680525.389
153,10405246.72
154,2838610.195
155,6714935.397
156,3603617.607
157,3204416.63
158,4306852.176
159,3771827.07
160,3043227.499
161,2710762.086
162,2776551.26
163,4633392.549
164,5317514.676
165,1962371.639
166,3603369.159
167,3685642.174
168,1705616.605
169,5832417.12
170,2648965.156
171,2936354.77
172,3636133.864
173,5790326.696
174,4940059.559
175,4667314.405
176,5566506.703
177,4404072.574
178,5276362.717
179,3530890.261
180,5292129.389
181,2539724.879
182,1519395.947
183,3867219.032
184,3761320.99
185,2999879.301
186,1902144.668
187,5852586.207
188,5907866.502
189,2533921.532
190,4675314.914
191,3753798.485
192,6337355.021
193,2734212.593
194,3565412.332
195,3592701.459
196,4797684.63
197,2298268.072
198,6109451.658
199,3539378.154
200,2570807.028
201,7582651.499
202,4187143.274
203,3478927.723
204,8207996.663
205,8871252.596
206,3837340.927
207,4889327.33
208,3460014.149
209,2779903.245
210,4288245.915
211,3543175.148
212,2560409.171
213,6189348.088
214,4751282.891
215,1336609.621
216,5927324.354
217,4276089.934
218,2366200.954
219,2039055.449
220,4987877.951
221,3695630.907
222,3889129.508
223,3165765.907
224,2922228.838
225,3918828.967
226,4022668.861
227,13232837.82
228,1425608.521
229,5046240.022
230,8771948.026
231,11311804.17
232,5771615.644
233,3050113.701
234,5044955.855
235,2810734.011
236,4614600.398
237,2267931.181
238,8303264.039
239,3822397.575
240,4485543.323
241,3496790.36
242,4771686.919
243,3615949.765
244,3829483.562
245,13131935.95
246,2135155.918
247,6730921.118
248,5211552.351
249,2860511.581
250,3887061.168
251,4442494.743
252,5088420.249
253,1826950.354
254,5545263.62
255,4090762.647
256,3137221.185
257,4697936.03
258,4746603
259,3560881.545
260,2127102.804
261,2745354.887
262,6848582.385
263,2873096.483
264,2205063.93
265,4790054.828
266,2043391.11
267,10215850.17
268,5510464.085
269,4058260.243
270,3774952.984
271,2969196.789
272,5016711.152
273,3467917.461
274,1922465.009
275,7772774.581
276,8858544.292
277,9400654.194
278,2452741.132
279,2223619.688
280,3301420.267
281,4840832.386
282,2288765.977
283,1745756.425
284,4129006.139
285,2559136.862
286,3332117.615
287,3892106.928
288,2548139.386
289,3928194.136
290,3154156.262
291,2734098.349
292,3697978.725
293,4080496.576
294,5659828.364
295,6967789.799
296,3562378.876
297,5188368.307
298,3046579.434
299,4347138.438
300,5101268.763
301,5790488.728
302,6804716.797
303,11831407.8
304,3414924.469
305,4048099.728
306,2712541.747
307,3112032.62
308,2048984.186
309,5653251.002
310,5593569.669
311,2417742.656
312,3185909.665
313,3846302.271
314,4375058.049
315,6196612.849
316,1562001.857
317,2382039.02
318,5870512.122
319,5719018.915
320,3521493.653
321,3114632.533
322,3505549.341
323,2370627.64
324,2356672.904
325,6657456.635
326,4008105.525
327,4448277.99
328,3357681.856
329,9735963.047
330,3972859.915
331,4404065.061
332,5884010.671
333,8735349.632
334,3819124.747
335,11874370.92
336,2039915.629
337,6305818.376
338,4253697.799
339,1819107.665
340,4731031.096
341,3642913.037
342,3869083.764
343,4598681.782
344,5643690.698
345,3915806.062
346,3724473.186
347,15391104.25
348,3158018.984
349,3827531.397
350,3078501.077
351,6167625.863
352,4460281.039
353,4212364.921
354,2010049.584
355,8805343.247
356,3884974.995
357,3638460.957
358,5251931.251
359,3305038.391
360,3907526.985
361,2644967.097
362,4078654.997
363,4731723.615
364,4386059.029
365,3290914.054
